ProjectName:	Mickey_Face
paperMode:	landscape	420	297
centering:	394	394
displacements:	0	10
diameter:	15
distanceApart:	5

command	left	iRight	fRight
1	320	328	357
2	320	486	501
3	325	503	484
4	325	438	414
5	325	361	317
6	330	311	366
7	330	402	454
8	330	486	507
9	335	507	485
10	335	460	390
11	335	366	306
12	340	302	369
13	340	384	468
14	340	486	508
15	345	507	477
16	345	472	377
17	345	367	297
18	350	294	369
19	350	373	512
20	355	514	290
21	360	289	517
22	365	517	286
23	370	286	519
24	375	519	285
25	380	287	519
26	385	517	287
27	390	291	347
28	390	355	518
29	395	515	353
30	395	337	296
31	400	310	326
32	400	354	514
33	405	510	353
34	410	355	508
35	415	507	355
36	420	358	507
37	425	505	359
38	430	329	505
39	435	502	318
40	440	315	501
41	445	496	309
42	450	308	496
43	455	490	305
44	460	305	385
45	460	395	484
46	465	475	403
47	465	385	303
48	470	304	387
49	470	422	467
50	475	386	303
51	480	306	387
52	485	385	307
53	490	312	384
54	495	381	314
55	500	322	377
56	505	369	328
57	510	345	361
