ProjectName:	Mickey_Mouse
paperMode:	landscape	420	297
centering:	394	394
displacements:	0	10
diameter:	15
distanceApart:	5

command	left	iRight	fRight
1	285	412	405
2	290	400	414
3	295	411	395
4	300	393	409
5	305	459	424
6	305	408	388
7	310	385	469
8	315	528	502
9	315	474	380
10	320	380	479
11	320	497	536
12	325	540	493
13	325	483	377
14	330	377	487
15	330	493	544
16	335	546	376
17	340	379	549
18	345	550	377
19	350	333	552
20	355	550	322
21	360	317	495
22	360	502	549
23	365	545	507
24	365	494	311
25	370	307	494
26	370	517	538
27	375	492	294
28	380	291	491
29	385	489	289
30	390	288	506
31	395	515	287
32	400	287	522
33	405	525	286
34	410	288	388
35	410	403	418
36	410	436	458
37	410	477	530
38	415	532	476
39	415	414	399
40	415	386	288
41	420	288	385
42	420	397	413
43	420	477	535
44	425	534	478
45	425	408	391
46	425	380	283
47	425	246	220
48	430	215	252
49	430	281	300
50	430	309	379
51	430	388	407
52	430	481	536
53	435	534	485
54	435	401	382
55	435	378	306
56	435	291	276
57	435	254	209
58	440	207	257
59	440	275	290
60	440	309	398
61	440	490	534
62	445	529	496
63	445	392	368
64	445	353	312
65	445	287	271
66	445	258	204
67	450	204	286
68	450	323	354
69	450	374	389
70	455	349	326
71	455	285	204
72	460	205	289
73	460	327	342
74	465	341	327
75	465	291	206
76	470	211	292
77	470	327	342
78	475	341	327
79	475	292	214
80	480	220	295
81	480	328	343
82	485	398	375
83	485	344	328
84	485	295	226
85	490	234	296
86	490	330	346
87	490	368	407
88	495	411	361
89	495	347	330
90	495	293	242
91	500	256	289
92	500	332	351
93	500	357	416
94	505	418	331
95	510	330	422
96	515	421	329
97	520	328	422
98	525	420	326
99	530	327	419
100	535	415	328
101	540	331	413
102	545	405	332
103	550	339	395
104	555	363	345
