ProjectName:	batmanLogoStencil
paperMode:	landscape	420	297
centering:	394	394
displacements:	0	10
diameter:	15
distanceApart:	5

command	left	iRight	fRight
1	270	446	496
2	275	505	426
3	280	416	515
4	285	518	418
5	290	425	524
6	295	527	428
7	300	430	531
8	305	532	430
9	310	432	536
10	315	535	430
11	320	430	537
12	325	537	427
13	325	360	356
14	330	358	367
15	330	426	539
16	335	538	420
17	335	372	357
18	340	359	380
19	340	415	539
20	345	537	406
21	345	385	354
22	350	350	537
23	355	535	325
24	360	331	484
25	360	509	536
26	365	532	512
27	365	478	333
28	370	338	477
29	370	516	531
30	375	527	516
31	375	474	340
32	380	346	474
33	380	519	526
34	385	522	519
35	385	472	348
36	390	352	447
37	395	443	351
38	400	351	442
39	405	441	346
40	410	284	285
41	410	344	442
42	415	441	339
43	415	287	281
44	420	279	290
45	420	335	442
46	425	443	326
47	425	297	277
48	430	276	445
49	435	445	274
50	440	273	403
51	440	424	448
52	445	449	440
53	445	390	271
54	450	271	389
55	455	388	270
56	460	270	389
57	465	389	269
58	470	269	389
59	475	368	269
60	480	270	362
61	485	358	271
62	490	272	358
63	495	356	272
64	500	275	359
65	505	361	277
66	510	281	368
67	515	378	284
68	520	292	388
69	525	377	297
70	530	307	369
71	535	346	321
