ProjectName:	globeStencil
paperMode:	landscape	420	297
centering:	394	394
displacements:	0	10
diameter:	15
distanceApart:	5

command	left	iRight	fRight
1	265	385	378
2	270	369	372
3	270	380	382
4	270	388	391
5	275	459	458
6	275	378	377
7	275	365	357
8	280	351	365
9	280	373	374
10	280	456	467
11	285	469	456
12	285	360	343
13	290	337	363
14	290	390	393
15	290	452	454
16	290	461	471
17	290	475	476
18	295	470	460
19	295	454	452
20	295	372	369
21	295	354	352
22	295	347	330
23	300	325	348
24	300	360	373
25	300	453	455
26	300	461	484
27	305	487	453
28	305	393	384
29	305	368	355
30	305	345	343
31	305	337	319
32	310	314	331
33	310	343	371
34	310	381	382
35	310	431	435
36	310	456	491
37	315	492	455
38	315	441	419
39	315	390	385
40	315	358	355
41	315	344	333
42	315	326	309
43	320	304	324
44	320	332	335
45	320	339	341
46	320	380	383
47	320	414	443
48	320	453	496
49	325	497	445
50	325	436	413
51	325	342	335
52	325	320	300
53	330	296	321
54	330	328	335
55	330	353	357
56	330	360	430
57	330	446	501
58	335	502	441
59	335	429	349
60	335	336	291
61	340	288	335
62	340	349	430
63	340	440	505
64	345	506	439
65	345	433	346
66	345	341	283
67	350	281	433
68	350	438	509
69	355	509	432
70	355	416	276
71	360	274	413
72	360	436	511
73	365	511	447
74	365	412	271
75	370	269	405
76	370	454	514
77	375	513	453
78	375	404	266
79	380	265	406
80	380	455	515
81	385	515	454
82	385	401	262
83	390	261	400
84	390	457	517
85	395	516	454
86	395	402	311
87	395	305	260
88	400	260	266
89	400	273	290
90	400	297	300
91	400	315	404
92	400	453	517
93	405	516	454
94	405	401	346
95	405	313	312
96	405	276	271
97	410	269	273
98	410	308	310
99	410	357	398
100	410	460	517
101	415	516	463
102	415	393	360
103	415	303	289
104	420	258	264
105	420	287	299
106	420	362	396
107	420	469	517
108	425	515	470
109	425	393	361
110	425	294	286
111	425	281	277
112	430	277	282
113	430	286	288
114	430	291	299
115	430	364	408
116	430	477	515
117	435	513	478
118	435	413	359
119	435	297	278
120	440	282	295
121	440	355	438
122	440	481	513
123	445	510	486
124	445	444	348
125	445	287	272
126	450	268	271
127	450	277	285
128	450	346	472
129	450	488	510
130	455	506	489
131	455	477	344
132	455	285	274
133	460	274	283
134	460	345	479
135	460	492	505
136	465	502	491
137	465	483	350
138	470	355	484
139	470	489	501
140	475	495	356
141	480	360	493
142	485	488	370
143	490	375	484
144	495	477	377
145	500	385	470
146	505	460	386
147	510	391	450
148	515	431	395
