ProjectName:	marilynMonroe
paperMode:	landscape	420	297
centering:	394	394
displacements:	0	10
diameter:	15
distanceApart:	5

command	left	iRight	fRight
1	210	459	464
2	215	469	466
3	215	461	450
4	220	444	457
5	225	444	435
6	230	432	441
7	230	449	453
8	230	472	480
9	235	487	478
10	235	437	431
11	240	430	435
12	245	467	462
13	245	444	440
14	245	435	411
15	250	405	408
16	250	414	444
17	250	448	452
18	250	459	467
19	255	463	458
20	255	413	407
21	260	396	400
22	260	454	459
23	265	502	490
24	265	459	454
25	265	388	386
26	270	382	393
27	270	463	469
28	270	488	506
29	275	509	485
30	275	465	462
31	275	387	375
32	280	370	407
33	280	488	512
34	285	514	493
35	285	413	363
36	290	359	390
37	290	408	420
38	290	493	517
39	295	519	498
40	295	424	413
41	295	382	352
42	300	348	353
43	300	357	377
44	300	486	492
45	300	499	521
46	305	519	484
47	305	392	375
48	305	372	342
49	310	338	366
50	310	375	401
51	310	485	509
52	315	522	508
53	315	501	482
54	315	405	388
55	315	361	332
56	320	328	361
57	320	406	407
58	320	483	532
59	325	528	518
60	325	509	482
61	325	461	451
62	325	359	323
63	330	325	358
64	330	460	468
65	330	486	514
66	335	523	506
67	335	501	489
68	335	485	482
69	335	471	463
70	335	356	315
71	340	309	355
72	340	392	398
73	340	436	443
74	340	468	473
75	340	483	489
76	340	510	528
77	345	492	482
78	345	472	469
79	345	448	437
80	345	409	390
81	345	350	303
82	350	298	346
83	350	402	413
84	350	444	454
85	355	458	447
86	355	419	406
87	355	339	292
88	360	289	336
89	360	371	398
90	360	417	423
91	360	452	462
92	365	476	468
93	365	400	363
94	365	334	283
95	370	280	334
96	370	362	375
97	370	395	414
98	370	467	478
99	375	473	463
100	375	417	403
101	375	388	361
102	375	331	274
103	380	271	331
104	380	362	400
105	380	409	421
106	380	463	476
107	385	478	461
108	385	420	410
109	385	405	359
110	385	329	265
111	390	264	330
112	390	362	420
113	390	466	480
114	395	479	459
115	395	416	388
116	395	379	364
117	395	328	305
118	395	301	289
119	400	293	298
120	400	310	331
121	400	371	381
122	400	397	414
123	400	456	465
124	400	473	482
125	405	478	465
126	405	458	454
127	405	409	383
128	405	334	311
129	410	315	344
130	410	389	406
131	415	463	457
132	415	348	316
133	420	320	354
134	420	428	440
135	420	452	463
136	425	446	420
137	425	358	321
138	430	325	370
139	430	415	446
140	430	454	460
141	435	444	404
142	435	376	328
143	435	295	290
144	440	282	295
145	440	336	391
146	440	400	442
147	445	437	396
148	445	388	343
149	445	293	273
150	450	266	293
151	450	369	375
152	450	393	416
153	450	426	438
154	455	427	417
155	455	407	389
156	455	289	256
157	460	245	290
158	460	389	398
159	460	418	429
160	465	406	402
161	465	287	243
162	470	242	288
163	470	408	421
164	475	286	239
165	480	241	285
166	485	370	365
167	485	282	247
168	490	259	281
169	490	363	371
170	495	373	360
171	495	277	266
172	500	360	378
173	505	380	359
174	510	361	385
175	515	387	361
176	520	361	390
177	525	392	360
178	530	360	395
179	535	396	357
180	540	356	399
181	545	399	355
182	550	360	396
183	555	394	366
184	560	375	391
185	565	388	381
