ProjectName:	michaelJackson
paperMode:	landscape	420	297
centering:	394	394
displacements:	0	10
diameter:	15
distanceApart:	5

command	left	iRight	fRight
1	265	404	399
2	265	388	386
3	265	379	378
4	270	373	374
5	270	381	394
6	270	404	405
7	275	417	406
8	275	400	373
9	275	368	361
10	280	357	422
11	280	436	437
12	285	437	435
13	285	430	426
14	285	421	350
15	290	343	439
16	295	444	336
17	300	332	440
18	300	444	447
19	305	447	438
20	305	435	326
21	310	322	457
22	315	462	459
23	315	456	316
24	320	312	466
25	325	472	462
26	325	459	306
27	330	302	464
28	330	467	476
29	335	477	296
30	340	292	365
31	340	374	423
32	340	432	480
33	345	485	436
34	345	433	368
35	345	359	287
36	350	283	355
37	350	376	426
38	350	434	437
39	350	440	494
40	355	505	502
41	355	499	498
42	355	494	442
43	355	425	382
44	355	349	277
45	360	273	345
46	360	404	438
47	360	444	510
48	365	513	446
49	365	443	443
50	365	440	436
51	365	433	423
52	365	418	409
53	365	339	268
54	370	264	333
55	370	414	421
56	370	434	435
57	370	449	514
58	370	516	517
59	375	525	524
60	375	518	448
61	375	423	417
62	375	384	372
63	375	318	259
64	380	255	316
65	380	366	375
66	380	424	435
67	380	450	533
68	385	534	534
69	385	530	448
70	385	432	426
71	385	367	362
72	385	311	254
73	390	254	307
74	390	360	367
75	390	380	391
76	390	443	536
77	395	535	445
78	395	389	387
79	395	384	374
80	395	364	355
81	395	304	250
82	400	254	311
83	400	353	363
84	400	372	373
85	400	377	383
86	400	387	388
87	400	450	542
88	405	541	451
89	405	380	379
90	405	370	369
91	405	359	352
92	405	316	248
93	410	251	304
94	410	311	322
95	410	331	334
96	410	354	357
97	410	451	539
98	415	541	450
99	415	324	317
100	415	307	248
101	415	242	241
102	420	241	242
103	420	248	307
104	420	312	314
105	420	325	330
106	420	341	341
107	420	451	544
108	425	546	450
109	425	342	341
110	425	334	328
111	425	313	311
112	425	307	256
113	425	246	242
114	430	262	315
115	430	332	352
116	430	451	548
117	435	538	450
118	435	351	320
119	435	316	264
120	440	272	290
121	440	294	329
122	440	334	347
123	440	359	359
124	440	451	532
125	445	523	449
126	445	386	380
127	445	362	362
128	445	341	330
129	445	323	297
130	445	288	280
131	445	277	276
132	450	280	317
133	450	321	342
134	450	345	347
135	450	412	419
136	450	449	518
137	455	510	447
138	455	410	402
139	455	382	368
140	455	334	328
141	455	318	312
142	455	308	301
143	455	293	288
144	455	285	284
145	460	290	291
146	460	296	310
147	460	316	332
148	460	335	337
149	460	374	378
150	460	400	409
151	460	448	505
152	465	498	445
153	465	404	396
154	465	344	315
155	465	312	305
156	465	297	292
157	470	329	354
158	470	390	402
159	470	446	494
160	475	487	443
161	475	415	410
162	475	394	388
163	475	357	354
164	480	363	379
165	480	394	398
166	480	407	412
167	480	440	483
168	485	476	432
169	485	384	379
170	490	387	400
171	490	431	473
172	495	467	420
173	495	409	399
174	500	421	464
175	505	459	423
176	510	424	456
177	515	451	418
178	520	416	448
179	525	443	413
180	530	414	441
181	535	437	415
182	540	417	435
183	545	430	414
184	550	417	429
185	555	425	418
186	560	422	423
