ProjectName:	monaLisa
paperMode:	landscape	420	297
centering:	394	394
displacements:	0	10
diameter:	15
distanceApart:	5

command	left	iRight	fRight
1	270	472	484
2	275	495	455
3	280	448	502
4	285	506	436
5	290	431	510
6	295	512	422
7	300	414	470
8	300	497	515
9	305	516	501
10	305	468	463
11	305	455	405
12	310	402	453
13	310	465	471
14	310	507	518
15	315	517	508
16	315	475	473
17	315	470	467
18	315	449	387
19	320	367	447
20	320	476	479
21	320	511	517
22	325	516	511
23	325	478	473
24	325	441	333
25	330	325	439
26	330	510	515
27	335	511	503
28	335	487	480
29	335	458	456
30	335	437	365
31	335	356	316
32	340	309	359
33	340	370	397
34	340	418	438
35	340	450	453
36	340	456	461
37	340	486	489
38	340	500	509
39	345	506	487
40	345	454	453
41	345	438	418
42	345	391	371
43	345	360	301
44	350	295	363
45	350	374	387
46	350	422	440
47	350	484	505
48	355	497	468
49	355	442	430
50	355	380	375
51	355	365	288
52	360	284	335
53	360	337	368
54	360	433	493
55	365	488	427
56	365	368	279
57	370	276	332
58	370	335	372
59	370	429	482
60	375	471	429
61	375	372	271
62	380	268	373
63	380	429	465
64	385	448	428
65	385	375	263
66	390	261	382
67	390	427	446
68	395	442	422
69	395	387	257
70	400	255	396
71	400	426	440
72	405	436	425
73	405	402	250
74	410	248	439
75	415	438	244
76	420	242	440
77	425	439	236
78	430	234	439
79	435	438	284
80	435	279	228
81	440	224	439
82	445	437	220
83	450	217	300
84	450	308	435
85	455	429	310
86	455	302	213
87	460	220	316
88	460	348	427
89	465	427	361
90	465	310	228
91	470	240	327
92	470	373	427
93	475	427	376
94	475	300	248
95	480	259	328
96	480	381	429
97	485	428	378
98	485	315	266
99	490	277	371
100	490	376	431
101	495	433	362
102	495	346	284
103	500	295	342
104	500	367	434
105	505	434	369
106	505	364	361
107	505	344	301
108	510	311	346
109	510	356	359
110	510	363	369
111	510	372	433
112	515	430	364
113	515	361	354
114	515	347	318
115	520	328	431
116	525	431	334
117	530	343	430
118	535	426	349
119	540	359	424
120	545	420	365
121	550	373	418
122	555	414	379
123	560	388	413
124	565	409	394
125	570	402	408
