ProjectName:	papaSmurf
paperMode:	landscape	420	297
centering:	394	394
displacements:	0	10
diameter:	15
distanceApart:	5

command	left	iRight	fRight
1	260	453	472
2	265	479	445
3	270	445	487
4	275	492	443
5	280	443	497
6	285	500	444
7	290	416	427
8	290	446	505
9	295	507	448
10	295	432	393
11	300	390	398
12	300	413	438
13	300	450	511
14	305	511	415
15	305	390	372
16	310	365	372
17	310	376	388
18	310	417	513
19	315	513	416
20	315	387	383
21	315	374	370
22	315	365	357
23	320	353	362
24	320	370	372
25	320	385	388
26	320	414	417
27	320	430	433
28	320	440	515
29	325	514	443
30	325	433	430
31	325	414	412
32	325	388	384
33	325	372	368
34	325	359	349
35	330	348	358
36	330	368	372
37	330	387	392
38	330	411	422
39	330	427	444
40	330	447	515
41	335	513	444
42	335	411	408
43	335	395	389
44	335	353	346
45	340	348	354
46	340	378	380
47	340	393	406
48	340	411	413
49	340	448	449
50	340	455	514
51	345	512	455
52	345	447	443
53	345	435	432
54	345	417	404
55	345	381	377
56	345	353	349
57	350	350	357
58	350	381	385
59	350	413	422
60	350	427	444
61	350	450	513
62	355	511	447
63	355	430	425
64	355	423	417
65	355	388	381
66	355	356	350
67	360	355	359
68	360	382	394
69	360	424	428
70	360	458	512
71	365	510	427
72	365	408	383
73	365	362	342
74	370	334	346
75	370	359	366
76	370	387	395
77	370	406	410
78	370	431	434
79	370	457	510
80	375	507	455
81	375	434	432
82	375	368	351
83	375	334	327
84	380	326	330
85	380	344	353
86	380	366	376
87	380	413	425
88	380	431	435
89	380	455	507
90	385	503	451
91	385	429	417
92	385	379	374
93	385	342	334
94	385	327	324
95	390	325	337
96	390	381	384
97	390	448	501
98	395	496	450
99	395	387	380
100	395	329	324
101	400	321	331
102	400	388	396
103	400	453	457
104	400	461	493
105	405	484	463
106	405	457	454
107	405	402	395
108	405	333	310
109	410	299	339
110	410	379	383
111	410	402	410
112	410	456	459
113	410	464	479
114	415	469	452
115	415	422	404
116	415	383	380
117	415	343	287
118	420	284	352
119	420	382	386
120	420	406	410
121	420	417	465
122	425	450	424
123	425	410	407
124	425	386	379
125	425	360	278
126	425	272	243
127	430	236	388
128	430	410	412
129	435	413	410
130	435	389	384
131	435	378	229
132	440	226	310
133	440	326	378
134	440	411	415
135	445	413	408
136	445	382	331
137	445	309	225
138	450	225	316
139	450	341	376
140	450	380	393
141	450	405	413
142	455	407	392
143	455	383	343
144	455	319	225
145	460	230	322
146	460	343	375
147	460	380	389
148	465	391	385
149	465	373	339
150	465	322	235
151	470	249	389
152	475	371	265
153	480	303	370
154	485	367	310
155	490	312	365
156	495	369	314
157	500	317	374
158	505	378	319
159	510	325	383
160	515	386	327
161	520	333	390
162	525	393	336
163	530	343	397
164	535	398	348
165	540	355	400
166	545	401	361
167	550	369	401
168	555	399	376
