ProjectName:	flashLogo
paperMode:	landscape	420	297
centering:	394	394
displacements:	0	10
diameter:	15
distanceApart:	5

command	left	iRight	fRight
1	310	396	412
2	315	425	373
3	320	364	435
4	325	442	355
5	330	349	377
6	330	420	448
7	335	451	428
8	335	364	342
9	340	337	358
10	340	436	456
11	345	459	440
12	345	350	331
13	350	329	346
14	350	445	463
15	355	464	448
16	355	340	323
17	360	321	334
18	360	452	468
19	365	469	453
20	365	386	361
21	370	322	406
22	370	456	471
23	375	472	457
24	375	398	294
25	380	281	393
26	380	460	474
27	385	475	459
28	385	398	355
29	390	308	322
30	390	356	424
31	390	462	476
32	395	476	461
33	395	438	348
34	395	321	306
35	400	306	322
36	400	342	450
37	400	462	478
38	405	476	460
39	405	441	334
40	405	321	305
41	410	307	322
42	410	397	434
43	410	462	477
44	415	475	466
45	415	435	396
46	415	323	306
47	420	308	325
48	420	391	452
49	425	463	385
50	425	326	309
51	430	312	331
52	430	423	478
53	435	488	460
54	435	332	313
55	440	317	339
56	440	490	502
57	445	465	444
58	445	342	319
59	450	325	350
60	450	441	463
61	455	458	431
62	455	356	330
63	460	338	370
64	460	424	455
65	465	447	343
66	470	353	441
67	475	429	364
68	480	397	409
